"_id";"timestamp";"eventName";"transactionId";"userId";"trackingIds";"runAs";"objectId";"operation";"before";"after";"changedFields";"revision";"component";"realm"
"08ea3b7e-ca15-41f5-9c5a-35d9687b45bc-417";"2022-12-07T09:03:55.983Z";"AM-CONFIG-CHANGE";"08ea3b7e-ca15-41f5-9c5a-35d9687b45bc-398";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=typingmodule,ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"08ea3b7e-ca15-41f5-9c5a-35d9687b45bc-462";"2022-12-07T09:03:59.284Z";"AM-CONFIG-CHANGE";"08ea3b7e-ca15-41f5-9c5a-35d9687b45bc-460";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=typingmodule,ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"UPDATE";;;"[""sunKeyValue""]";;;"/"
"7fa4d542-7a46-4bfd-bc6c-2617e6b042a9-497";"2022-12-07T09:38:29.438Z";"AM-CONFIG-CHANGE";"7fa4d542-7a46-4bfd-bc6c-2617e6b042a9-495";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=GlobalConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;
"7fa4d542-7a46-4bfd-bc6c-2617e6b042a9-499";"2022-12-07T09:38:29.456Z";"AM-CONFIG-CHANGE";"7fa4d542-7a46-4bfd-bc6c-2617e6b042a9-495";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"7fa4d542-7a46-4bfd-bc6c-2617e6b042a9-501";"2022-12-07T09:38:29.465Z";"AM-CONFIG-CHANGE";"7fa4d542-7a46-4bfd-bc6c-2617e6b042a9-495";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=PluginConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"7fa4d542-7a46-4bfd-bc6c-2617e6b042a9-505";"2022-12-07T09:38:29.477Z";"AM-CONFIG-CHANGE";"7fa4d542-7a46-4bfd-bc6c-2617e6b042a9-495";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=Instances,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"7fa4d542-7a46-4bfd-bc6c-2617e6b042a9-507";"2022-12-07T09:38:29.495Z";"AM-CONFIG-CHANGE";"7fa4d542-7a46-4bfd-bc6c-2617e6b042a9-495";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"7fa4d542-7a46-4bfd-bc6c-2617e6b042a9-511";"2022-12-07T09:38:29.556Z";"AM-CONFIG-CHANGE";"7fa4d542-7a46-4bfd-bc6c-2617e6b042a9-495";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=typingmodule,ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"7fa4d542-7a46-4bfd-bc6c-2617e6b042a9-551";"2022-12-07T09:38:32.109Z";"AM-CONFIG-CHANGE";"7fa4d542-7a46-4bfd-bc6c-2617e6b042a9-548";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=typingmodule,ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"UPDATE";;;"[""sunKeyValue""]";;;"/"
"d605a0b9-f659-4cb4-b03a-3a2929729c08-722";"2022-12-07T09:53:52.177Z";"AM-CONFIG-CHANGE";"d605a0b9-f659-4cb4-b03a-3a2929729c08-714";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=GlobalConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;
"d605a0b9-f659-4cb4-b03a-3a2929729c08-728";"2022-12-07T09:53:52.196Z";"AM-CONFIG-CHANGE";"d605a0b9-f659-4cb4-b03a-3a2929729c08-714";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"d605a0b9-f659-4cb4-b03a-3a2929729c08-730";"2022-12-07T09:53:52.206Z";"AM-CONFIG-CHANGE";"d605a0b9-f659-4cb4-b03a-3a2929729c08-714";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=PluginConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"d605a0b9-f659-4cb4-b03a-3a2929729c08-734";"2022-12-07T09:53:52.216Z";"AM-CONFIG-CHANGE";"d605a0b9-f659-4cb4-b03a-3a2929729c08-714";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=Instances,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"d605a0b9-f659-4cb4-b03a-3a2929729c08-739";"2022-12-07T09:53:52.252Z";"AM-CONFIG-CHANGE";"d605a0b9-f659-4cb4-b03a-3a2929729c08-714";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"d605a0b9-f659-4cb4-b03a-3a2929729c08-741";"2022-12-07T09:53:52.283Z";"AM-CONFIG-CHANGE";"d605a0b9-f659-4cb4-b03a-3a2929729c08-714";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=typingmodule,ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"d605a0b9-f659-4cb4-b03a-3a2929729c08-782";"2022-12-07T09:53:55.159Z";"AM-CONFIG-CHANGE";"d605a0b9-f659-4cb4-b03a-3a2929729c08-779";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=typingmodule,ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"UPDATE";;;"[""sunKeyValue""]";;;"/"
"7d86691c-5adf-4897-b2a8-6e6df44957aa-707";"2022-12-07T10:00:39.111Z";"AM-CONFIG-CHANGE";"7d86691c-5adf-4897-b2a8-6e6df44957aa-705";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=GlobalConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;
"7d86691c-5adf-4897-b2a8-6e6df44957aa-709";"2022-12-07T10:00:39.146Z";"AM-CONFIG-CHANGE";"7d86691c-5adf-4897-b2a8-6e6df44957aa-705";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"7d86691c-5adf-4897-b2a8-6e6df44957aa-711";"2022-12-07T10:00:39.157Z";"AM-CONFIG-CHANGE";"7d86691c-5adf-4897-b2a8-6e6df44957aa-705";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=PluginConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"7d86691c-5adf-4897-b2a8-6e6df44957aa-715";"2022-12-07T10:00:39.171Z";"AM-CONFIG-CHANGE";"7d86691c-5adf-4897-b2a8-6e6df44957aa-705";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=Instances,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"7d86691c-5adf-4897-b2a8-6e6df44957aa-719";"2022-12-07T10:00:39.183Z";"AM-CONFIG-CHANGE";"7d86691c-5adf-4897-b2a8-6e6df44957aa-705";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"7d86691c-5adf-4897-b2a8-6e6df44957aa-722";"2022-12-07T10:00:39.233Z";"AM-CONFIG-CHANGE";"7d86691c-5adf-4897-b2a8-6e6df44957aa-705";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=typingmodule,ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"7d86691c-5adf-4897-b2a8-6e6df44957aa-762";"2022-12-07T10:00:41.640Z";"AM-CONFIG-CHANGE";"7d86691c-5adf-4897-b2a8-6e6df44957aa-759";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=typingmodule,ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"UPDATE";;;"[""sunKeyValue""]";;;"/"
"f3e9e799-ed3b-4217-924a-cc1d0083a1b3-598";"2022-12-09T08:42:05.383Z";"AM-CONFIG-CHANGE";"f3e9e799-ed3b-4217-924a-cc1d0083a1b3-596";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=GlobalConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;
"f3e9e799-ed3b-4217-924a-cc1d0083a1b3-600";"2022-12-09T08:42:05.431Z";"AM-CONFIG-CHANGE";"f3e9e799-ed3b-4217-924a-cc1d0083a1b3-596";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"f3e9e799-ed3b-4217-924a-cc1d0083a1b3-602";"2022-12-09T08:42:05.443Z";"AM-CONFIG-CHANGE";"f3e9e799-ed3b-4217-924a-cc1d0083a1b3-596";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=PluginConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"f3e9e799-ed3b-4217-924a-cc1d0083a1b3-606";"2022-12-09T08:42:05.455Z";"AM-CONFIG-CHANGE";"f3e9e799-ed3b-4217-924a-cc1d0083a1b3-596";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=Instances,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"f3e9e799-ed3b-4217-924a-cc1d0083a1b3-608";"2022-12-09T08:42:05.476Z";"AM-CONFIG-CHANGE";"f3e9e799-ed3b-4217-924a-cc1d0083a1b3-596";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
